patient_id	cell_id	bam_path	cell_type
patient02_ctc_compare	CTC1	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617528.sorted.bam	ctc
patient02_ctc_compare	CTC2	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617529.sorted.bam	ctc
patient02_ctc_compare	CTC3	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617532.sorted.bam	ctc
patient02_ctc_compare	CTC4	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617533.sorted.bam	ctc
patient02_ctc_compare	CTC5	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617663.sorted.bam	ctc
patient02_ctc_compare	CTC6	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617662.sorted.bam	ctc
patient02_ctc_compare	CTC7	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617661.sorted.bam	ctc
patient02_ctc_compare	CTC8	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617660.sorted.bam	ctc
patient02_ctc_compare	CTC9	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617667.sorted.bam	ctc
patient02_ctc_compare	CTC10	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617666.sorted.bam	ctc
patient02_ctc_compare	CTC11	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617665.sorted.bam	ctc
patient02_ctc_compare	leuko	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617531.sorted.bam	leukocyte
