patient_id	cell_id	bam_path	cell_type
patient06_ctc_compare	CTC1	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617716.sorted.bam	ctc
patient06_ctc_compare	CTC2	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617715.sorted.bam	ctc
patient06_ctc_compare	CTC3	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617657.sorted.bam	ctc
patient06_ctc_compare	CTC4	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617656.sorted.bam	ctc
patient06_ctc_compare	CTC5	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617720.sorted.bam	ctc
patient06_ctc_compare	CTC6	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617719.sorted.bam	ctc
patient06_ctc_compare	CTC7	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617722.sorted.bam	ctc
patient06_ctc_compare	CTC8	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617721.sorted.bam	ctc
patient06_ctc_compare	CTC9	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617635.sorted.bam	ctc
patient06_ctc_compare	CTC10	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617634.sorted.bam	ctc
patient06_ctc_compare	CTC11	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617544.sorted.bam	ctc
patient06_ctc_compare	CTC12	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617545.sorted.bam	ctc
